deposit_id,customer_id,date,transaction_type,amount,currency
DE47679,DO926,1/1/2021,pay_in,17000,EUR
DE47680,DO927,1/1/2021,pay_in,18000,EUR
DE47681,DO928,1/1/2021,pay_in,19000,EUR
DE47682,DO929,1/1/2021,pay_in,20000,EUR
UK47656,DO903,1/1/2021,pay_out,10000,GBP
UK0355,DO912,4/1/2020,pay_in,10000,GBP
UK0355,DO912,4/1/2022,pay_out,10000,GBP
DE47771,DO718,5/1/2021,pay_in,9000,EUR
DE47772,DO719,5/1/2021,pay_in,10000,EUR
DE47773,DO720,5/1/2021,pay_in,11000,EUR
DE47774,DO721,5/1/2021,pay_in,12000,EUR
DE47775,DO722,5/1/2021,pay_in,13000,EUR
DE47776,DO723,5/1/2021,pay_in,14000,EUR
DE47777,DO724,5/1/2021,pay_in,30000,EUR
DE47778,DO725,5/1/2021,pay_in,16000,EUR
DE47779,DO726,5/1/2021,pay_in,17000,EUR
DE47780,DO727,5/1/2021,pay_in,18000,EUR
DE47781,DO728,5/1/2021,pay_in,19000,EUR
DE47782,DO729,5/1/2021,pay_in,20000,EUR
UK47656,DO703,5/1/2021,pay_out,10000,GBP
UK0455,DO712,4/1/2020,pay_in,10000,GBP
UK0456,DO712,4/1/2022,pay_in,10000,GBP
